Output log dir: ./results/yolo_v3_fp32_origin/2019-12-03_09-19-08
Creating pipeline:
===========================================================================
DEBUG:DEBUG:
0it [00:00, ?it/s]
13it [00:00, 123.93it/s]
26it [00:00, 123.87it/s]
39it [00:00, 123.04it/s]
5000it [00:44, 111.18it/s]

DEBUG:DEBUG:Model Optimizer arguments:
Common parameters:
	- Path to the Input Model: 	/home/vskvorts/projects/mov/i_engine/model-zoo-models-intel/PublicInHouse/object_detection/common/yolo/v3/tf/frozen_darknet_yolov3.pb
	- Path for generated IR: 	./results
	- IR output name: 	yolo_v3_fp32_origin
	- Log level: 	ERROR
	- Batch: 	Not specified, inherited from the model
	- Input layers: 	inputs
	- Output layers: 	output_boxes
	- Input shapes: 	[1, 416, 416, 3]
	- Mean values: 	Not specified
	- Scale values: 	Not specified
	- Scale factor: 	Not specified
	- Precision of IR: 	FP32
	- Enable fusing: 	True
	- Enable grouped convolutions fusing: 	True
	- Move mean values to preprocess section: 	False
	- Reverse input channels: 	True
	- Use the config file: 	../../../../../dldt/model-optimizer/extensions/front/tf/yolo_v3.json
TensorFlow specific parameters:
	- Input model in text protobuf format: 	False
	- Path to model dump for TensorBoard: 	None
	- List of shared libraries with TensorFlow custom layers implementation: 	None
	- Update the configuration file with input/output node names: 	None
	- Use configuration file used to generate the model with Object Detection API: 	None
	- Operations to offload: 	None
	- Patterns to offload: 	None
	- Use the config file: 	../../../../../dldt/model-optimizer/extensions/front/tf/yolo_v3.json
Model Optimizer version: 	unknown version

DEBUG:DEBUG:
[ SUCCESS ] Generated IR model.
[ SUCCESS ] XML file: ./results/yolo_v3_fp32_origin/2019-12-03_09-19-08/fp32/yolo_v3_fp32_origin.xml
[ SUCCESS ] BIN file: ./results/yolo_v3_fp32_origin/2019-12-03_09-19-08/fp32/yolo_v3_fp32_origin.bin

DEBUG:DEBUG:
[ SUCCESS ] Generated IR model.
[ SUCCESS ] XML file: ./results/yolo_v3_fp32_origin/2019-12-03_09-19-08/optimized/yolo_v3_fp32_origin.xml
[ SUCCESS ] BIN file: ./results/yolo_v3_fp32_origin/2019-12-03_09-19-08/optimized/yolo_v3_fp32_origin.bin

DEBUG:DEBUG:
[ SUCCESS ] Generated IR model.
[ SUCCESS ] XML file: /tmp/tmpqnfrc83o/tmp_model.xml
[ SUCCESS ] BIN file: /tmp/tmpqnfrc83o/tmp_model.bin

0it [00:00, ?it/s]
12it [00:00, 116.49it/s]
24it [00:00, 115.65it/s]
35it [00:00, 113.87it/s]
47it [00:00, 114.21it/s]
59it [00:00, 114.94it/s]
71it [00:00, 114.51it/s]
83it [00:00, 114.98it/s]
96it [00:00, 116.71it/s]
109it [00:00, 118.20it/s]
121it [00:01, 117.18it/s]
133it [00:01, 115.81it/s]
145it [00:01, 116.34it/s]
158it [00:01, 117.91it/s]
170it [00:01, 116.46it/s]
182it [00:01, 115.09it/s]
194it [00:01, 114.40it/s]
206it [00:01, 115.30it/s]
218it [00:01, 113.47it/s]
230it [00:01, 113.75it/s]
242it [00:02, 113.29it/s]
254it [00:02, 113.33it/s]
266it [00:02, 114.74it/s]
278it [00:02, 115.27it/s]
290it [00:02, 116.62it/s]
302it [00:02, 116.83it/s]
314it [00:02, 115.10it/s]
326it [00:02, 115.16it/s]
338it [00:02, 115.36it/s]
350it [00:03, 113.96it/s]
362it [00:03, 112.79it/s]
374it [00:03, 112.93it/s]
386it [00:03, 112.88it/s]
399it [00:03, 115.30it/s]
411it [00:03, 116.67it/s]
424it [00:03, 118.13it/s]
437it [00:03, 119.08it/s]
449it [00:03, 116.16it/s]
461it [00:03, 115.48it/s]
473it [00:04, 113.39it/s]
485it [00:04, 111.65it/s]
497it [00:04, 111.23it/s]
509it [00:04, 113.10it/s]
521it [00:04, 113.66it/s]
534it [00:04, 115.57it/s]
546it [00:04, 116.81it/s]
559it [00:04, 117.76it/s]
572it [00:04, 118.63it/s]
584it [00:05, 116.21it/s]
596it [00:05, 115.01it/s]
608it [00:05, 115.14it/s]
620it [00:05, 115.14it/s]
632it [00:05, 113.27it/s]
644it [00:05, 113.34it/s]
656it [00:05, 113.93it/s]
668it [00:05, 114.25it/s]
680it [00:05, 114.78it/s]
692it [00:06, 113.52it/s]
704it [00:06, 112.86it/s]
716it [00:06, 112.33it/s]
728it [00:06, 111.18it/s]
740it [00:06, 111.92it/s]
752it [00:06, 113.71it/s]
764it [00:06, 113.49it/s]
776it [00:06, 113.31it/s]
788it [00:06, 113.99it/s]
800it [00:06, 114.44it/s]
812it [00:07, 113.41it/s]
824it [00:07, 113.14it/s]
836it [00:07, 113.82it/s]
848it [00:07, 115.30it/s]
860it [00:07, 112.52it/s]
872it [00:07, 112.45it/s]
884it [00:07, 114.06it/s]
896it [00:07, 114.08it/s]
908it [00:07, 112.47it/s]
920it [00:08, 112.08it/s]
932it [00:08, 111.78it/s]
944it [00:08, 112.13it/s]
956it [00:08, 111.69it/s]
968it [00:08, 112.37it/s]
980it [00:08, 113.04it/s]
992it [00:08, 111.64it/s]
1004it [00:08, 111.87it/s]
1016it [00:08, 112.60it/s]
1028it [00:08, 113.50it/s]
1040it [00:09, 111.42it/s]
1052it [00:09, 111.81it/s]
1064it [00:09, 112.71it/s]
1076it [00:09, 113.29it/s]
